GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""06047""","Merced, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,81.066,85.502,92.758,101.16,105.531,103.352,115.187,101.353,97.414,99.378,102.148,100,103.654,113.794,115.532,115.885,123.41,123.165,124.878,124.612
" ""06047""","Merced, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,4322610,4622374,5164502,5932061,6122186,6105805,7316341,6579466,6360030,6651218,7248138,7302553,7765833,8504657,8496332,8414205,9156662,9207334,9512032,9635342
" ""06049""","Modoc, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,254132,317061,293681,276198,318992,319802,310278,366867,399660,374712,337664,305295,309876,326281,354063,377226,357793,373250,414965,437915
" ""06049""","Modoc, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,83.241,103.854,96.196,90.469,104.486,104.752,101.632,120.168,130.909,122.738,110.602,100,101.5,106.874,115.974,123.561,117.196,122.258,135.922,143.44
" ""06049""","Modoc, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,184186,233337,225247,222845,256354,261835,277305,333781,337880,334128,329861,305295,318421,332829,347972,357844,352853,371291,419650,440344
" ""06051""","Mono, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,832202,902969,946526,908522,1001878,941488,893660,911651,896008,951966,960143,894203,896446,882669,878548,910508,1027563,957625,1016599,922078
" ""06051""","Mono, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,93.066,100.98,105.851,101.601,112.041,105.288,99.939,101.951,100.202,106.46,107.374,100,100.251,98.71,98.249,101.823,114.914,107.093,113.688,103.117
" ""06051""","Mono, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,613614,680688,731389,733362,841567,825072,818800,853814,855867,914440,941120,894203,917912,921319,937372,985800,1133341,1080809,1173022,1073767
" ""06053""","Monterey, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,21016429,22188403,22130781,19859471,20305925,21769566,20775170,20448397,21833524,21336279,20088899,20853659,22080506,22452847,24189253,24813563,25122789,25923751,26819709,25387255
" ""06053""","Monterey, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,100.781,106.401,106.124,95.233,97.373,104.392,99.624,98.057,104.699,102.314,96.333,100,105.883,107.669,115.995,118.989,120.472,124.313,128.609,121.74
